id,name,country,region,wmo,icao,latitude,longitude,elevation,timezone,hourly_start,hourly_end,daily_start,daily_end,monthly_start,monthly_end,distance
K4R50,La Pointe,US,WI,,K4R5,46.7887,-90.7587,198.0,America/Chicago,2016-11-11,2023-07-31,2016-11-12,2022-03-08,,,273724.94014399685
UO0HZ,Britton,US,SD,,KBTN,45.8152,-97.7431,401.0,America/Chicago,2022-04-23,2023-07-31,2022-04-23,2022-04-25,,,274890.26329166704
JJR7O,St. Mary's Hospital Heliport,US,MN,,K9MN,44.0206,-92.4829,355.0,America/Chicago,2022-05-06,2023-07-31,,,,,276200.91263068636
71962,Fort Frances RCS,CA,ON,71962,CTAG,48.65,-93.44,342.0,America/Winnipeg,2008-04-29,2023-07-07,2007-10-08,2023-07-23,2007-01-01,2022-01-01,280923.30085013603
KFRM0,Fairmont / Fairmont Estates,US,MN,,KFRM,43.6439,-94.4156,354.0,America/Chicago,2006-01-01,2023-07-31,2006-01-01,2022-04-24,2006-01-01,2022-01-01,282380.63005231944
KBDE0,Baudette,US,MN,,KBDE,48.7284,-94.6122,331.0,America/Chicago,1983-11-04,2023-07-31,1995-02-11,2022-04-24,1998-01-01,2022-01-01,284902.2980818612
KAEL0,Albert Lea / Bancroft,US,MN,,KAEL,43.6815,-93.3672,384.0,America/Chicago,2006-01-01,2023-07-31,2006-01-02,2022-04-24,2006-01-01,2022-01-01,285841.1971249245
72644,Rochester International Airport,US,MN,72644,KRST,43.9,-92.5,401.0,America/Chicago,1973-01-01,2023-07-31,1893-01-18,2023-07-23,1893-01-01,2022-01-01,287365.5456018822
KMJQ0,Jackson,US,MN,,KMJQ,43.65,-94.9865,441.0,America/Chicago,2006-01-01,2023-07-31,2006-01-01,2022-04-24,2006-01-01,2022-01-01,287643.1523877123
KBKX0,Brookings,US,SD,,KBKX,44.3048,-96.8169,502.0,America/Chicago,2006-01-01,2023-07-31,2006-01-01,2022-04-24,2006-01-01,2022-01-01,291014.2912789408
72741,Park Falls,US,WI,72741,KPKF,45.9333,-90.45,462.0,America/Chicago,1973-01-01,2001-02-03,1910-05-01,2023-07-20,1910-01-01,2021-01-01,292401.336416404
KPQN0,Pipestone,US,MN,,KPQN,43.9833,-96.3003,529.0,America/Chicago,2006-01-01,2022-08-02,2006-01-01,2022-04-24,2012-01-01,2022-01-01,293658.56135830405
MBPUU,Oakes Municipal Airport,US,ND,,K2D5,46.1731,-98.0799,407.0,America/Chicago,2022-05-06,2023-07-31,,,,,296932.3881561241
KGFK0,Grand Forks / Powell,US,ND,,KGFK,47.9473,-97.1738,257.0,America/Chicago,2010-08-01,2023-07-31,2010-08-01,2022-04-24,2010-01-01,2022-01-01,297588.3258634995
KAUM0,Austin,US,MN,,KAUM,43.6626,-92.9329,376.0,America/Chicago,2006-01-01,2023-07-31,2006-01-01,2022-04-24,2007-01-01,2022-01-01,297745.7112442804
KPBH0,Phillips,US,WI,,KPBH,45.7089,-90.4025,456.0,America/Chicago,2006-01-01,2023-07-31,2006-01-01,2022-04-24,2007-01-01,2022-01-01,299978.76955920184
KOTG0,Worthington / Sungold Heights Mobile Home Park,US,MN,,KOTG,43.6551,-95.5792,480.0,America/Chicago,2006-01-01,2023-07-31,2006-01-01,2022-04-24,2006-01-01,2022-01-01,300338.4339122886
KBAC0,Valley City / North Valley City,US,ND,,KBAC,46.9412,-98.01799999999999,427.0,America/Chicago,2010-12-15,2023-07-31,2010-12-16,2022-04-24,2014-01-01,2022-01-01,302213.18928895413
KONA0,Winona / Country Valley Mobile Home Park,US,MN,,KONA,44.0772,-91.7083,200.0,America/Chicago,2006-01-01,2023-07-31,2006-01-01,2022-04-24,2006-01-01,2022-01-01,305874.2223752908
KEST0,Estherville / Gruver,US,IA,,KEST,43.4074,-94.7464,402.0,America/Chicago,2006-01-01,2023-07-31,2006-01-01,2022-04-24,2006-01-01,2022-01-01,311022.7973485619
V5792,Mine Centre Southwest,CA,ON,,,48.76,-92.62,361.0,America/Rainy_River,,,2005-10-01,2022-12-09,2005-01-01,2022-01-01,311167.1629925736
T4E4V,Grand Forks Air Force Base,US,ND,,KRDR,47.9667,-97.4,278.0,America/Chicago,2022-04-23,2023-07-31,2022-04-23,2022-04-24,,,311989.2977635394
KIWD0,Ironwood / Hautala Corner,US,MI,,KIWD,46.5275,-90.1314,375.0,America/Menominee,2006-01-01,2023-07-31,2006-01-01,2022-04-24,2008-01-01,2022-01-01,316359.0226039196
P6529,Roseau Municipal Airport,US,MN,,KROX,48.85,-95.7,323.0,America/Chicago,2022-04-23,2023-07-31,2022-04-23,2022-04-25,,,316943.3935192642
KRRT0,Warroad / Longworth,US,MN,,KRRT,48.9415,-95.3485,328.0,America/Chicago,2006-01-01,2023-07-31,2006-01-01,2022-04-24,2006-01-01,2022-01-01,318482.21157129883
